Y,X,Z,Omega,psi,U,V
0,0,0,0.006309119,0,0,0
0,0.007751938,0,-0.0011865979,0,-2.4396412818E-05,0
0,0.015503876,0,-0.0033957693,0,-7.2221677549E-05,0
0,0.023255814,0,-0.006285182,0,-0.0001287583,0
0,0.0310077519,0,-0.0089625128,0,-0.000179573,0
0,0.0387596899,0,-0.0109464449,0,-0.000213991,0
0,0.0465116279,0,-0.0119188797,0,-0.0002248107,0
0,0.0542635659,0,-0.0116843767,0,-0.0002074637,0
0,0.0620155039,0,-0.0101331162,0,-0.0001592783,0
0,0.0697674419,0,-0.0072145586,0,-7.8933233595E-05,0
0,0.0775193798,0,-0.0029192757,0,3.393279552E-05,0
0,0.0852713178,0,0.0027335883,0,0.0001789976,0
0,0.0930232558,0,0.0097050542,0,0.0003554532,0
0,0.1007751938,0,0.0179424767,0,0.0005621488,0
0,0.1085271318,0,0.0273839608,0,0.0007976948,0
0,0.1162790698,0,0.0379615638,0,0.0010605399,0
0,0.1240310078,0,0.0496036413,0,0.0013490284,0
0,0.1317829457,0,0.0622365794,0,0.0016614433,0
0,0.1395348837,0,0.0757860774,0,0.0019960384,0
0,0.1472868217,0,0.0901780977,0,0.0023510628,0
0,0.1550387597,0,0.1053395644,0,0.0027247789,0
0,0.1627906977,0,0.1211988688,0,0.0031154761,0
0,0.1705426357,0,0.137686226,0,0.0035214801,0
0,0.1782945736,0,0.1547339158,0,0.0039411601,0
0,0.1860465116,0,0.1722764302,0,0.0043729333,0
0,0.1937984496,0,0.19025055,0,0.004815267,0
0,0.2015503876,0,0.208595363,0,0.0052666804,0
0,0.2093023256,0,0.2272522375,0,0.0057257441,0
0,0.2170542636,0,0.2461647601,0,0.0061910795,0
0,0.2248062016,0,0.2652786465,0,0.0066613571,0
0,0.2325581395,0,0.2845416315,0,0.007135294,0
0,0.2403100775,0,0.3039033454,0,0.0076116517,0
0,0.2480620155,0,0.323315179,0,0.0080892331,0
0,0.2558139535,0,0.3427301442,0,0.0085668791,0
0,0.2635658915,0,0.362102732,0,0.009043466,0
0,0.2713178295,0,0.3813887715,0,0.009517902,0
0,0.2790697674,0,0.4005452927,0,0.0099891242,0
0,0.2868217054,0,0.4195303952,0,0.0104560955,0
0,0.2945736434,0,0.4383031247,0,0.0109178022,0
0,0.3023255814,0,0.4568233592,0,0.0113732509,0
0,0.3100775194,0,0.4750517065,0,0.0118214666,0
0,0.3178294574,0,0.492949413,0,0.0122614902,0
0,0.3255813953,0,0.5104782867,0,0.0126923771,0
